nameWithOwner,num_total_builds
freeCodeCamp/freeCodeCamp,155457
EbookFoundation/free-programming-books,24610
jwasham/coding-interview-university,18
sindresorhus/awesome,483
kamranahmedse/developer-roadmap,4093
facebook/react,28598
twbs/bootstrap,109569
flutter/flutter,189936
Snailclimb/JavaGuide,34
Significant-Gravitas/Auto-GPT,14085
ytdl-org/youtube-dl,1254
vercel/next.js,118749
d3/d3,45
avelino/awesome-go,2345
axios/axios,3431
facebook/create-react-app,884
yangshun/tech-interview-handbook,1015
denoland/deno,27000
puppeteer/puppeteer,11919
iluwatar/java-design-patterns,1339
storybookjs/storybook,78665
gothinkster/realworld,4471
django/django,31649
tonsky/FiraCode,48
doocs/advanced-java,1684
vuejs/awesome-vue,318
gin-gonic/gin,1430
tailwindlabs/tailwindcss,8919
sveltejs/svelte,4001
fatedier/frp,1006
spring-projects/spring-boot,8457
gohugoio/hugo,4678
moby/moby,14479
neovim/neovim,114354
hakimel/reveal.js,175
tauri-apps/tauri,42708
webpack/webpack,4147
netdata/netdata,173885
expressjs/express,496
coder/code-server,12527
keras-team/keras,5925
jquery/jquery,909
mermaid-js/mermaid,39487
h5bp/Front-end-Developer-Interview-Questions,268
shadowsocks/shadowsocks-windows,94
nestjs/nest,12027
lodash/lodash,17
DopplerHQ/awesome-interview-questions,26
apache/echarts,3247
chrislgarry/Apollo-11,5811
gatsbyjs/gatsby,1610
h5bp/html5-boilerplate,1545
Anduin2017/HowToCook,2747
rails/rails,35182
python/cpython,106035
junegunn/fzf,1785
spring-projects/spring-framework,8988
hoppscotch/hoppscotch,7176
anuraghazra/github-readme-stats,5541
Fndroid/clash_for_windows_pkg,832
ElemeFE/element,116
azl397985856/leetcode,140
syncthing/syncthing,541
MunGell/awesome-for-beginners,88
microsoft/playwright,90723
remix-run/react-router,15488
supabase/supabase,34685
psf/requests,7716
ionic-team/ionic-framework,21870
ageitgey/face_recognition,18
microsoft/ML-For-Beginners,1475
prometheus/prometheus,18480
excalidraw/excalidraw,94064
swisskyrepo/PayloadsAllTheThings,86
obsproject/obs-studio,27355
ocornut/imgui,6889
soimort/you-get,155
caddyserver/caddy,6561
jgthms/bulma,184
localstack/localstack,46167
ReactiveX/RxJava,1688
jekyll/jekyll,2552
danielmiessler/SecLists,110
git/git,9799
prettier/prettier,72285
nuxt/nuxt,10194
deepfakes/faceswap,563
serverless/serverless,4146
facebook/docusaurus,54307
tldr-pages/tldr,41494
DefinitelyTyped/DefinitelyTyped,43000
ryanoasis/nerd-fonts,758
meteor/meteor,6903
etcd-io/etcd,67346
cypress-io/cypress,41749
Textualize/rich,4751
iamkun/dayjs,187
traefik/traefik,12288
ColorlibHQ/AdminLTE,8120
mozilla/pdf.js,9717
v2ray/v2ray-core,1137
babel/babel,20386
gogs/gogs,4105
jestjs/jest,60703
rustdesk/rustdesk,6975
base-org/node,3
square/retrofit,470
mastodon/mastodon,50575
sharkdp/bat,1540
typescript-cheatsheets/react,377
FiloSottile/mkcert,21
jgraph/drawio-desktop,224
bailicangdu/vue2-elm,603
chinese-poetry/chinese-poetry,91
Alamofire/Alamofire,443
commaai/openpilot,148191
apache/dubbo,13439
styled-components/styled-components,877
rclone/rclone,4950
pingcap/tidb,99343
open-guides/og-aws,4
airbnb/lottie-android,844
type-challenges/type-challenges,108287
nativefier/nativefier,723
AFNetworking/AFNetworking,4
NervJS/taro,20921
SheetJS/sheetjs,1269
binary-husky/gpt_academic,70
chakra-ui/chakra-ui,5101
jaredpalmer/formik,1585
QSCTech/zju-icicles,169
Blankj/AndroidUtilCode,34
koalaman/shellcheck,156
dbeaver/dbeaver,13313
dotnet/aspnetcore,1785
acmesh-official/acme.sh,5392
shadowsocks/ShadowsocksX-NG,22
freeCodeCamp/devdocs,1044
openai/gym,5896
prisma/prisma,27900
blueimp/jQuery-File-Upload,28
mitmproxy/mitmproxy,3231
sorrycc/awesome-javascript,92
carbon-language/carbon-lang,26684
naptha/tesseract.js,443
aria2/aria2,45
Z4nzu/hackingtool,62
n8n-io/n8n,35503
curl/curl,115709
certbot/certbot,185
beego/beego,32880
markedjs/marked,2916
halfrost/LeetCode-Go,786
foundation/foundation-sites,158
xkcoding/spring-boot-demo,100
PKUFlyingPig/cs-self-learning,477
ReactiveX/rxjs,4156
jgm/pandoc,8062
ziadoz/awesome-php,35
TencentARC/GFPGAN,15865
square/leakcanary,1453
standard/standard,1659
niklasvh/html2canvas,311
apolloconfig/apollo,9323
vuejs/vuex,16
caolan/async,316
webtorrent/webtorrent,4037
alibaba/easyexcel,624
hashicorp/vault,104114
pcottle/learnGitBranching,123
files-community/Files,6057
sharkdp/fd,904
alebcay/awesome-shell,51
swc-project/swc,138629
fastify/fastify,12204
halo-dev/halo,4961
trailofbits/algo,345
zhongyang219/TrafficMonitor,295
ianstormtaylor/slate,7296
sqlmapproject/sqlmap,245
alibaba/druid,318
fzaninotto/Faker,1
jesseduffield/lazydocker,230
slidevjs/slidev,1231
SeleniumHQ/selenium,28294
ggerganov/llama.cpp,4527
TheAlgorithms/JavaScript,2808
hashicorp/consul,135177
cheeriojs/cheerio,11055
gofiber/fiber,15533
JedWatson/react-select,160
